year,month,day,week_day,host,requests
2015,3,26,3,as-01,92558
2015,3,26,3,as-02,100167
2015,3,26,3,as-03,99569
2015,3,26,3,as-04,93092
2015,3,27,4,as-01,191122
2015,3,27,4,as-02,206725
2015,3,27,4,as-03,205785
2015,3,27,4,as-04,191377
2015,3,28,5,as-01,96609
2015,3,28,5,as-02,107580
2015,3,28,5,as-03,106837
2015,3,28,5,as-04,95329
2015,3,29,6,as-01,73485
2015,3,29,6,as-02,82432
2015,3,29,6,as-03,81387
2015,3,29,6,as-04,73086
2015,3,30,0,as-01,222609
2015,3,30,0,as-02,241739
2015,3,30,0,as-03,242009
2015,3,30,0,as-04,222644
2015,3,31,1,as-01,218986
2015,3,31,1,as-02,234161
2015,3,31,1,as-03,233703
2015,3,31,1,as-04,219408
2015,4,1,2,as-01,225373
2015,4,1,2,as-02,246783
2015,4,1,2,as-03,245101
2015,4,1,2,as-04,225894
2015,4,2,3,as-01,193266
2015,4,2,3,as-02,208700
2015,4,2,3,as-03,207587
2015,4,2,3,as-04,193997
2015,4,3,4,as-01,83489
2015,4,3,4,as-02,92277
2015,4,3,4,as-03,91470
2015,4,3,4,as-04,82253
2015,4,4,5,as-01,102855
2015,4,4,5,as-02,115005
2015,4,4,5,as-03,113958
2015,4,4,5,as-04,101916
2015,4,5,6,as-01,76198
2015,4,5,6,as-02,87445
2015,4,5,6,as-03,86809
2015,4,5,6,as-04,75823
2015,4,6,0,as-01,74196
2015,4,6,0,as-02,82889
2015,4,6,0,as-03,82431
2015,4,6,0,as-04,73517
2015,4,7,1,as-01,216807
2015,4,7,1,as-02,232583
2015,4,7,1,as-03,232647
2015,4,7,1,as-04,215687
2015,4,8,2,as-01,207225
2015,4,8,2,as-02,226653
2015,4,8,2,as-03,225940
2015,4,8,2,as-04,206558
2015,4,9,3,as-01,193290
2015,4,9,3,as-02,207067
2015,4,9,3,as-03,206649
2015,4,9,3,as-04,193649
2015,4,10,4,as-01,181054
2015,4,10,4,as-02,195628
2015,4,10,4,as-03,194313
2015,4,10,4,as-04,181780
2015,4,11,5,as-01,100883
2015,4,11,5,as-02,117448
2015,4,11,5,as-03,115438
2015,4,11,5,as-04,99999
2015,4,12,6,as-01,71312
2015,4,12,6,as-02,81062
2015,4,12,6,as-03,80234
2015,4,12,6,as-04,70637
2015,4,13,0,as-01,208561
2015,4,13,0,as-02,228375
2015,4,13,0,as-03,226504
2015,4,13,0,as-04,210475
2015,4,14,1,as-01,201255
2015,4,14,1,as-02,216443
2015,4,14,1,as-03,216313
2015,4,14,1,as-04,202316
2015,4,15,2,as-01,197039
2015,4,15,2,as-02,213423
2015,4,15,2,as-03,213000
2015,4,15,2,as-04,197139
2015,4,16,3,as-01,190228
2015,4,16,3,as-02,205114
2015,4,16,3,as-03,204221
2015,4,16,3,as-04,190192
2015,4,17,4,as-01,184035
2015,4,17,4,as-02,199121
2015,4,17,4,as-03,198760
2015,4,17,4,as-04,184975
2015,4,18,5,as-01,88676
2015,4,18,5,as-02,99998
2015,4,18,5,as-03,98892
2015,4,18,5,as-04,88589
2015,4,19,6,as-01,70452
2015,4,19,6,as-02,78817
2015,4,19,6,as-03,77720
2015,4,19,6,as-04,69540
2015,4,20,0,as-01,216388
2015,4,20,0,as-02,233974
2015,4,20,0,as-03,233424
2015,4,20,0,as-04,215095
2015,4,21,1,as-01,200406
2015,4,21,1,as-02,212867
2015,4,21,1,as-03,212704
2015,4,21,1,as-04,199825
2015,4,22,2,as-01,197944
2015,4,22,2,as-02,214455
2015,4,22,2,as-03,214176
2015,4,22,2,as-04,197839
2015,4,23,3,as-01,193817
2015,4,23,3,as-02,206724
2015,4,23,3,as-03,207394
2015,4,23,3,as-04,192537
2015,4,24,4,as-01,183047
2015,4,24,4,as-02,196055
2015,4,24,4,as-03,196128
2015,4,24,4,as-04,183524
2015,4,25,5,as-01,88797
2015,4,25,5,as-02,100883
2015,4,25,5,as-03,111069
2015,4,25,5,as-04,100872
2015,4,26,6,as-01,74470
2015,4,26,6,as-02,83920
2015,4,26,6,as-03,82664
2015,4,26,6,as-04,74102
2015,4,27,0,as-01,218403
2015,4,27,0,as-02,238019
2015,4,27,0,as-03,236872
2015,4,27,0,as-04,217230
2015,4,28,1,as-01,206542
2015,4,28,1,as-02,221598
2015,4,28,1,as-03,221045
2015,4,28,1,as-04,205808
2015,4,29,2,as-01,206632
2015,4,29,2,as-02,224026
2015,4,29,2,as-03,223143
2015,4,29,2,as-04,206404
2015,4,30,3,as-01,195582
2015,4,30,3,as-02,208528
2015,4,30,3,as-03,208557
2015,4,30,3,as-04,195282
2015,5,1,4,as-01,131800
2015,5,1,4,as-02,144861
2015,5,1,4,as-03,143680
2015,5,1,4,as-04,131671
2015,5,2,5,as-01,87264
2015,5,2,5,as-02,98107
2015,5,2,5,as-03,96514
2015,5,2,5,as-04,87910
2015,5,3,6,as-01,72887
2015,5,3,6,as-02,82980
2015,5,3,6,as-03,81582
2015,5,3,6,as-04,72414
2015,5,4,0,as-01,225335
2015,5,4,0,as-02,245771
2015,5,4,0,as-03,244305
2015,5,4,0,as-04,224784
2015,5,5,1,as-01,208784
2015,5,5,1,as-02,225320
2015,5,5,1,as-03,225227
2015,5,5,1,as-04,208749
2015,5,6,2,as-01,208445
2015,5,6,2,as-02,225066
2015,5,6,2,as-03,225086
2015,5,6,2,as-04,207433
2015,5,7,3,as-01,198150
2015,5,7,3,as-02,211836
2015,5,7,3,as-03,211085
2015,5,7,3,as-04,197945
2015,5,8,4,as-01,190232
2015,5,8,4,as-02,204327
2015,5,8,4,as-03,204286
2015,5,8,4,as-04,189625
2015,5,9,5,as-01,90467
2015,5,9,5,as-02,101057
2015,5,9,5,as-03,99712
2015,5,9,5,as-04,90365
2015,5,10,6,as-01,74439
2015,5,10,6,as-02,85725
2015,5,10,6,as-03,84967
2015,5,10,6,as-04,73816
2015,5,11,0,as-01,211830
2015,5,11,0,as-02,230260
2015,5,11,0,as-03,228989
2015,5,11,0,as-04,211754
2015,5,12,1,as-01,201291
2015,5,12,1,as-02,215005
2015,5,12,1,as-03,215726
2015,5,12,1,as-04,203140
2015,5,13,2,as-01,199743
2015,5,13,2,as-02,217112
2015,5,13,2,as-03,215748
2015,5,13,2,as-04,199601
2015,5,14,3,as-01,68886
2015,5,14,3,as-02,77049
2015,5,14,3,as-03,76227
2015,5,14,3,as-04,68177
2015,5,15,4,as-01,151148
2015,5,15,4,as-02,165735
2015,5,15,4,as-03,165195
