year,month,day,week_day,requests
2015,3,26,3,385386
2015,3,27,4,795009
2015,3,28,5,406355
2015,3,29,6,310390
2015,3,30,0,929001
2015,3,31,1,906258
2015,4,1,2,943151
2015,4,2,3,803550
2015,4,3,4,349489
2015,4,4,5,433734
2015,4,5,6,326275
2015,4,6,0,313033
2015,4,7,1,897724
2015,4,8,2,866376
2015,4,9,3,800655
2015,4,10,4,752775
2015,4,11,5,433768
2015,4,12,6,303245
2015,4,13,0,873915
2015,4,14,1,836327
2015,4,15,2,820601
2015,4,16,3,789755
2015,4,17,4,766891
2015,4,18,5,376155
2015,4,19,6,296529
2015,4,20,0,898881
2015,4,21,1,825802
2015,4,22,2,824414
2015,4,23,3,800472
2015,4,24,4,758754
2015,4,25,5,401621
2015,4,26,6,315156
2015,4,27,0,910524
2015,4,28,1,854993
2015,4,29,2,860205
2015,4,30,3,807949
2015,5,1,4,552012
2015,5,2,5,369795
2015,5,3,6,309863
2015,5,4,0,940195
2015,5,5,1,868080
2015,5,6,2,866030
2015,5,7,3,819016
2015,5,8,4,788470
2015,5,9,5,381601
2015,5,10,6,318947
2015,5,11,0,882833
2015,5,12,1,835162
2015,5,13,2,832204
2015,5,14,3,290339
2015,5,15,4,633939
2015,5,16,5,351508
2015,5,17,6,281846
2015,5,18,0,900321
2015,5,19,1,842025
2015,5,20,2,861179
2015,5,21,3,808502
2015,5,22,4,758295
2015,5,23,5,385116
2015,5,24,6,250800
2015,5,25,0,309970
2015,5,26,1,911141
2015,5,27,2,882317
2015,5,28,3,824967
2015,5,29,4,772286
2015,5,30,5,359188
2015,5,31,6,291164
2015,6,1,0,893609
2015,6,2,1,838220
2015,6,3,2,831053
2015,6,4,3,663391
2015,6,5,4,723932
2015,6,6,5,338174
2015,6,7,6,285787
2015,6,8,0,904048
2015,6,9,1,840137
2015,6,10,2,838983
2015,6,11,3,783332
2015,6,12,4,739200
2015,6,13,5,350778
2015,6,14,6,289631
2015,6,15,0,884314
2015,6,16,1,830441
2015,6,17,2,1513302
2015,6,18,3,1461679
2015,6,19,4,1452672
2015,6,20,5,780293
2015,6,21,6,597918
2015,6,22,0,1504957
2015,6,23,1,1476877
2015,6,24,2,1490897
2015,6,25,3,1442956
2015,6,26,4,1459729
2015,6,27,5,771775
2015,6,28,6,595874
2015,6,29,0,1432895
2015,6,30,1,1488572
2015,7,1,2,1503858
2015,7,2,3,1140259
2015,7,3,4,1131656
2015,7,4,5,780335
2015,7,5,6,590669
2015,7,6,0,1426889
2015,7,7,1,1416463
2015,7,8,2,1370589
2015,7,9,3,1380677
2015,7,10,4,1305222
2015,7,11,5,701548
2015,7,12,6,525954
2015,7,13,0,1334733
2015,7,14,1,1311017
2015,7,15,2,1314640
2015,7,16,3,1277884
2015,7,17,4,1240437
2015,7,18,5,686404
2015,7,19,6,531845
2015,7,20,0,1265315
2015,7,21,1,1236486
2015,7,22,2,1196297
2015,7,23,3,1205792
2015,7,24,4,1164639
2015,7,25,5,651780
2015,7,26,6,486946
2015,7,27,0,1190289
2015,7,28,1,1151772
2015,7,29,2,1123256
2015,7,30,3,1125940
2015,7,31,4,1079924
2015,8,1,5,545177
2015,8,2,6,497708
2015,8,3,0,1169330
2015,8,4,1,1172471
2015,8,5,2,1168385
2015,8,6,3,1150276
2015,8,7,4,1091467
2015,8,8,5,667830
2015,8,9,6,521817
2015,8,10,0,1302459
2015,8,11,1,1253073
2015,8,12,2,1226814
2015,8,13,3,1223201
2015,8,14,4,1182994
2015,8,15,5,638073
2015,8,16,6,521773
2015,8,17,0,1365690
2015,8,18,1,1361463
2015,8,19,2,1355603
2015,8,20,3,1330685
2015,8,21,4,1302864
2015,8,22,5,713152
2015,8,23,6,541906
2015,8,24,0,1473465
2015,8,25,1,1446106
2015,8,26,2,1434657
2015,8,27,3,1401980
2015,8,28,4,1397436
2015,8,29,5,756622
2015,8,30,6,576721
2015,8,31,0,1502520
2015,9,1,1,1463613
2015,9,2,2,1512263
2015,9,3,3,1425483
2015,9,4,4,1402862
2015,9,5,5,764316
2015,9,6,6,569975
2015,9,7,0,1454381
2015,9,8,1,1413561
2015,9,9,2,1412463
2015,9,10,3,1271543
2015,9,11,4,1340316
2015,9,12,5,718585
2015,9,13,6,546420
2015,9,14,0,1459173
2015,9,15,1,1439568
2015,9,16,2,1416421
2015,9,17,3,1399997
2015,9,18,4,1398816
2015,9,19,5,733158
2015,9,20,6,546900
2015,9,21,0,1357000
2015,9,22,1,1447317
2015,9,23,2,1436113
2015,9,24,3,1449797
2015,9,25,4,1427916
2015,9,26,5,756619
2015,9,27,6,553130
2015,9,28,0,1445952
2015,9,29,1,1405385
2015,9,30,2,1441818
2015,10,1,3,1391509
