year,month,day,week_day,hour,requests
2015,3,26,3,14,70913
2015,3,26,3,15,69843
2015,3,26,3,16,69809
2015,3,26,3,17,54620
2015,3,26,3,18,40256
2015,3,26,3,19,31337
2015,3,26,3,20,23894
2015,3,26,3,21,13236
2015,3,26,3,22,7183
2015,3,26,3,23,4295
2015,3,27,4,0,3905
2015,3,27,4,1,3029
2015,3,27,4,2,3113
2015,3,27,4,3,2910
2015,3,27,4,4,2603
2015,3,27,4,5,2030
2015,3,27,4,6,3947
2015,3,27,4,7,20742
2015,3,27,4,8,59661
2015,3,27,4,9,79470
2015,3,27,4,10,85248
2015,3,27,4,11,77343
2015,3,27,4,12,37639
2015,3,27,4,13,58935
2015,3,27,4,14,68682
2015,3,27,4,15,65720
2015,3,27,4,16,59426
2015,3,27,4,17,47708
2015,3,27,4,18,37443
2015,3,27,4,19,28709
2015,3,27,4,20,21384
2015,3,27,4,21,11734
2015,3,27,4,22,7923
2015,3,27,4,23,5705
2015,3,28,5,0,4238
2015,3,28,5,1,3429
2015,3,28,5,2,3206
2015,3,28,5,3,3152
2015,3,28,5,4,2707
2015,3,28,5,5,1817
2015,3,28,5,6,2467
2015,3,28,5,7,7471
2015,3,28,5,8,20253
2015,3,28,5,9,31766
2015,3,28,5,10,35557
2015,3,28,5,11,32243
2015,3,28,5,12,25415
2015,3,28,5,13,24932
2015,3,28,5,14,22987
2015,3,28,5,15,22823
2015,3,28,5,16,25614
2015,3,28,5,17,27290
2015,3,28,5,18,23980
2015,3,28,5,19,20880
2015,3,28,5,20,15884
2015,3,28,5,21,27438
2015,3,28,5,22,16328
2015,3,28,5,23,4478
2015,3,29,6,0,4043
2015,3,29,6,1,3757
2015,3,29,6,3,3892
2015,3,29,6,4,3564
2015,3,29,6,5,3003
2015,3,29,6,6,2084
2015,3,29,6,7,2735
2015,3,29,6,8,6618
2015,3,29,6,9,13375
2015,3,29,6,10,20940
2015,3,29,6,11,24225
2015,3,29,6,12,20068
2015,3,29,6,13,18875
2015,3,29,6,14,17790
2015,3,29,6,15,18125
2015,3,29,6,16,20830
2015,3,29,6,17,24245
2015,3,29,6,18,25683
2015,3,29,6,19,27638
2015,3,29,6,20,23945
2015,3,29,6,21,13104
2015,3,29,6,22,7542
2015,3,29,6,23,4309
2015,3,30,0,0,3533
2015,3,30,0,1,2731
2015,3,30,0,2,2871
2015,3,30,0,3,2863
2015,3,30,0,4,2804
2015,3,30,0,5,2474
2015,3,30,0,6,3784
2015,3,30,0,7,17367
2015,3,30,0,8,59866
2015,3,30,0,9,85594
2015,3,30,0,10,94409
2015,3,30,0,11,86686
2015,3,30,0,12,39618
2015,3,30,0,13,66690
2015,3,30,0,14,80384
2015,3,30,0,15,77116
2015,3,30,0,16,76002
2015,3,30,0,17,59995
2015,3,30,0,18,43067
2015,3,30,0,19,35586
2015,3,30,0,20,54564
2015,3,30,0,21,16842
2015,3,30,0,22,9514
2015,3,30,0,23,4641
2015,3,31,1,0,3440
2015,3,31,1,1,2742
2015,3,31,1,2,2928
2015,3,31,1,3,2835
2015,3,31,1,4,2718
2015,3,31,1,5,2359
2015,3,31,1,6,3581
2015,3,31,1,7,18011
2015,3,31,1,8,58644
2015,3,31,1,9,83097
2015,3,31,1,10,91995
2015,3,31,1,11,84793
2015,3,31,1,12,39038
2015,3,31,1,13,64922
2015,3,31,1,14,77804
2015,3,31,1,15,78883
2015,3,31,1,16,80394
2015,3,31,1,17,66138
2015,3,31,1,18,45541
2015,3,31,1,19,36312
2015,3,31,1,20,30171
2015,3,31,1,21,16584
2015,3,31,1,22,8618
2015,3,31,1,23,4710
2015,4,1,2,0,3842
2015,4,1,2,1,3120
2015,4,1,2,2,3079
2015,4,1,2,3,2939
2015,4,1,2,4,2898
2015,4,1,2,5,2490
2015,4,1,2,6,3986
2015,4,1,2,7,19404
2015,4,1,2,8,57892
2015,4,1,2,9,80882
2015,4,1,2,10,89279
2015,4,1,2,11,82728
2015,4,1,2,12,40915
2015,4,1,2,13,64861
2015,4,1,2,14,76420
2015,4,1,2,15,72446
2015,4,1,2,16,72711
2015,4,1,2,17,59060
2015,4,1,2,18,45092
2015,4,1,2,19,38265
2015,4,1,2,20,90220
2015,4,1,2,21,16831
2015,4,1,2,22,8976
2015,4,1,2,23,4815
2015,4,2,3,0,4412
2015,4,2,3,1,3084
2015,4,2,3,2,2892
2015,4,2,3,3,2922
