year,month,requests
2015,3,3732399
2015,4,20242719
2015,5,19479111
2015,6,28505426
2015,7,33849515
2015,8,33293718
2015,9,36410861
2015,10,39227748
2015,11,65809351
2015,12,148782967
2016,1,135238276
2016,2,135240228
2016,3,151238748
2016,4,146400642
2016,5,157198737
2016,6,151183408
2016,7,174253066
2016,8,156675674
2016,9,145657512
2016,10,148205891
2016,11,132519268
2016,12,136997674
2017,1,121850485
2017,2,114560675
2017,3,131431703
2017,4,146447960
2017,5,148527753
2017,6,143732411
2017,7,164621636
2017,8,149824856
2017,9,135316878
2017,10,135265178
2017,11,113643113
2017,12,118211586
2018,1,109784098
2018,2,101001208
2018,3,120455652
2018,4,126618821
2018,5,132433366
2018,6,130533422
2018,7,153127967
2018,8,138932123
2018,9,126286446
2018,10,130935481
2018,11,108523660
2018,12,111990242
2019,1,103673625
2019,2,96976423
2019,3,106409989
2019,4,119356809
2019,5,115511704
2019,6,123555612
2019,7,160001819
2019,8,165261677
2019,9,121314102
2019,10,126016206
2019,11,106339769
2019,12,113622427
2020,1,106406790
2020,2,100960593
2020,3,95625611
2020,4,8190312
